Id ,Calculator name,Brand name,Year made,Rechargeable
1,"TI-84 Plus CE
",Texas Instrument,January 2015,Yes
2,TI-84 Plus Silver        ,Texas Instrument,June 2004,No
3,"TI-84 Plus C Silver
",Texas Instrument,2004,No
4,TI-84 Plus T        ,Texas Instrument,June 2004,No
5,TI-84 Plus CE-T        ,Texas Instrument,Spring 2015,Yes
6,"TI-84 Plus CE-T Python Edition
",Texas Instrument,2021,Yes
7,FX-7400 series,,,
8,FX-7500 series,,,
,"FX-7700 series",,,
,FX-7800 series	,,,
,FX-8000 series	,,,
,"FX-8500 series",,,
,FX-8700 series	,,,
,FX-8800 series	,,,
,"Graph25 series",,,
,FX-9700 series	,,,
,FX-9750 series	,,,
,"FX-9860 series",,,
,CFX-9800 series	,,,
,CFX-9850 series	,,,
,"CFX-9950 series",,,
,CFX-9970 series	,,,
,FX 1.0 series	,,,
,"Algebra FX 2.0 series",,,
,FX-CG-10	,,,
,FX-CG-20 series	,,,
,"FX-CG-50",,,
,Graph35 series	,,,
,Graph75 series	,,,
,"Graph95 series",,,
,Graph100 series	,,,
,FX-CG-500**	,,,
,HP-9G	,,,
,HP-28 series	,,,
,"HP-38G",,,
,HP-39 series	,,,
,HP-40 series	,,,
,"HP-48 series",,,
,HP-49 series	,,,
,HP-50 series	,,,
,HP Prime,,,
,EC-4033	,,,
,EC-4034	,,,
,EC-4037,,,
,EL-5200	,,,
,EL-9200 series	,,,
,"EL-9300 series",,,
,EL-9600 series**	,,,
,EL-9900 series        ,,,
,TI-73	,,,
,TI-80	,,,
,"TI-81",,,
,TI-82	,,,
,TI-83	,,,
,"TI-83 Plus",,,
,TI-83 Plus Silver	,,,
,TI-84 Plus	,,,
,FX-6000 series,,,
,FX-6200 series,,,
,FX-6300 series,,,
,FX-6500 series,,,
,FX-7000 series,,,
,FX-7300 series,,,
,TI-85	,,,
,TI-86	,,,
,"TI-89",,,
,TI-89 Titanium	,,,
,TI-Nspire	,,,
,"TI-Nspire CX",,,
,TI-Nspire CX II	,,,
,TI-Nspire CX II-T        ,,,
,"TI-Nspire CM-C
",,,
,TI-Nspire CAS	,,,
,TI-Nspire CX CAS	,,,
,"TI-Nspire CX II CAS",,,
,TI-Nspire CX II-T CAS	,,,
,TI-Nspire CM-C CAS	,,,
,"TI-Nspire CX-C CAS",,,
,TI-Nspire CX II-C CAS	,,,
,Datexx DS-883	,,,
,Micronta	,,,
,NumWorks,,,
,Smart2,,,
,HP 48GII,,,
,FX-CP400,,,
,ClassPad 300,,,
,ClassPad 330,,,
,CATIGA CS121,,,
,Caliber RM-21,,,
,Datexx DS-883	,,,
,KK-82MS,,,
,FX-5800P,,,
,Voyage 200,,,
,HP Prime G2,,,
,Fiamo ECO 30,,,
,"Rebell SC2030",,,
,"Fiamo SC20",,,
,"Rebell SC2040",,,
,"Rebell SC2060S",,,
